id,existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification
211, no checking account,36, existing credits paid back duly till now, radio/television,3835, unknown/ no savings account, more than 7 years,2," female, divorced/separated/married", none,4, real estate,45, none, own,1, unskilled - resident,1, yes, yes,1
212, poor,27, no credits taken/ all credits paid back duly, business,5293, little, unemployed,2," male, single", none,4, building society savings agreement/ life insurance,50, stores, own,2, skilled employee / official,1, yes, yes,2
213, moderate,30, delay in paying off in the past, business,1908, little, more than 7 years,4," male, single", none,4, real estate,66, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
214, no checking account,36, critical account/ other credits existing (not at this bank), radio/television,3342, unknown/ no savings account, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",51, none, own,1, skilled employee / official,1, yes, yes,1
215, little,6, critical account/ other credits existing (not at this bank), retraining,932, unknown/ no savings account, 4 to 7 years,1," female, divorced/separated/married", none,3, building society savings agreement/ life insurance,39, none, own,2, unskilled - resident,1, none, yes,1
216, poor,18, no credits taken/ all credits paid back duly, business,3104, little, 4 to 7 years,3," male, single", none,1, building society savings agreement/ life insurance,31," bank,", own,1, skilled employee / official,1, yes, yes,1
217, moderate,36, existing credits paid back duly till now, radio/television,3913, little, 1 to 4 years,2," male, single", none,2, real estate,23, none, own,1, skilled employee / official,1, yes, yes,1
218, poor,24, existing credits paid back duly till now, furniture/equipment,3021, little, 1 to 4 years,2," male, divorced/separated", none,2, real estate,24, none, rent,1, unskilled - resident,1, none, yes,1
219, no checking account,10, existing credits paid back duly till now, car (new),1364, little, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",64, none, own,1, skilled employee / official,1, yes, yes,1
220, little,12, existing credits paid back duly till now, radio/television,625, little, less than 1 year,4," male, married/widowed", guarantor,1, real estate,26," bank,", own,1, unskilled - resident,1, none, yes,1
221, poor,12, existing credits paid back duly till now, education,1200, unknown/ no savings account, 1 to 4 years,4," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,23," bank,", rent,1, skilled employee / official,1, yes, yes,1
222, no checking account,12, existing credits paid back duly till now, radio/television,707, little, 1 to 4 years,4," male, single", none,2, real estate,30," bank,", own,2, skilled employee / official,1, none, yes,1
223, no checking account,24, delay in paying off in the past, business,2978, unknown/ no savings account, 1 to 4 years,4," male, single", none,4, real estate,32, none, own,2, skilled employee / official,2, yes, yes,1
224, no checking account,15, existing credits paid back duly till now, car (used),4657, little, 1 to 4 years,3," male, single", none,2," car or other, not in attribute 6",30, none, own,1, skilled employee / official,1, yes, yes,1
225, no checking account,36, no credits taken/ all credits paid back duly, repairs,2613, little, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",27, none, own,2, skilled employee / official,1, none, yes,1
226, little,48, existing credits paid back duly till now, radio/television,10961, rich, 4 to 7 years,1," male, single", co-applicant,2, unknown / no property,27," bank,", own,2, skilled employee / official,1, yes, yes,2
227, poor,12, existing credits paid back duly till now, furniture/equipment,7865, little, more than 7 years,4," male, single", none,4, unknown / no property,53, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
228, no checking account,9, existing credits paid back duly till now, radio/television,1478, little, 4 to 7 years,4," male, single", none,2," car or other, not in attribute 6",22, none, own,1, skilled employee / official,1, none, yes,2
229, poor,24, existing credits paid back duly till now, furniture/equipment,3149, little, less than 1 year,4," male, single", none,1, unknown / no property,22," bank,", for free,1, skilled employee / official,1, none, yes,1
230, moderate,36, existing credits paid back duly till now, radio/television,4210, little, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",26, none, own,1, skilled employee / official,1, none, yes,2
231, no checking account,9, existing credits paid back duly till now, car (new),2507, quite rich, more than 7 years,2," male, single", none,4, unknown / no property,51, none, for free,1, unskilled - resident,1, none, yes,1
232, no checking account,12, existing credits paid back duly till now, radio/television,2141, moderate, 4 to 7 years,3," male, single", none,1, unknown / no property,35, none, own,1, skilled employee / official,1, none, yes,1
233, little,18, existing credits paid back duly till now, radio/television,866, little, 1 to 4 years,4," male, married/widowed", guarantor,2, real estate,25, none, own,1, unskilled - resident,1, none, yes,1
234, no checking account,4, critical account/ other credits existing (not at this bank), radio/television,1544, little, 4 to 7 years,2," male, single", none,1, real estate,42, none, own,3, unskilled - resident,2, none, yes,1
235, poor,24, existing credits paid back duly till now, radio/television,1823, little, unemployed,4," male, single", none,2," car or other, not in attribute 6",30, stores, own,1, management/ self-employed/highly qualified employee/ officer,2, none, yes,2
236, little,6, existing credits paid back duly till now, car (new),14555, unknown/ no savings account, unemployed,1," male, single", none,2, building society savings agreement/ life insurance,23, none, own,1, unemployed/ unskilled - non-resident,1, yes, yes,2
237, little,21, existing credits paid back duly till now, business,2767, moderate, more than 7 years,4," male, divorced/separated", none,2," car or other, not in attribute 6",61," bank,", rent,2, unskilled - resident,1, none, yes,2
238, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,1291, little, 1 to 4 years,4," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,35, none, own,2, skilled employee / official,1, none, yes,1
239, poor,30, existing credits paid back duly till now, radio/television,2522, little, more than 7 years,1," male, single", guarantor,3, building society savings agreement/ life insurance,39, none, own,1, skilled employee / official,2, none, yes,1
240, poor,24, existing credits paid back duly till now, car (new),915, unknown/ no savings account, more than 7 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",29," bank,", own,1, skilled employee / official,1, none, yes,2
241, no checking account,6, existing credits paid back duly till now, radio/television,1595, little, 4 to 7 years,3," male, single", none,2, building society savings agreement/ life insurance,51, none, own,1, skilled employee / official,2, none, yes,1
242, poor,48, no credits taken/ all credits paid back duly, car (used),4605, little, more than 7 years,3," male, single", none,4, unknown / no property,24, none, for free,2, skilled employee / official,2, none, yes,2
243, no checking account,12, critical account/ other credits existing (not at this bank), business,1185, little, 1 to 4 years,3," female, divorced/separated/married", none,2, real estate,27, none, own,2, skilled employee / official,1, none, yes,1
244, no checking account,12, all credits at this bank paid back duly, retraining,3447, quite rich, 1 to 4 years,4," female, divorced/separated/married", none,3, real estate,35, none, own,1, unskilled - resident,2, none, yes,1
245, no checking account,24, existing credits paid back duly till now, business,1258, little, 4 to 7 years,4," male, single", none,1, real estate,25, none, own,1, skilled employee / official,1, yes, yes,1
246, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,717, little, more than 7 years,4," male, single", none,4, real estate,52, none, own,3, skilled employee / official,1, none, yes,1
247, no checking account,6, no credits taken/ all credits paid back duly, car (new),1204, moderate, 1 to 4 years,4," male, single", none,1, unknown / no property,35," bank,", rent,1, skilled employee / official,1, none, no,1
248, moderate,24, existing credits paid back duly till now, furniture/equipment,1925, little, 1 to 4 years,2," male, single", none,2, real estate,26, none, own,1, skilled employee / official,1, none, yes,1
249, no checking account,18, existing credits paid back duly till now, radio/television,433, little, unemployed,3," female, divorced/separated/married", co-applicant,4, real estate,22, none, rent,1, skilled employee / official,1, none, yes,2
250, poor,6, critical account/ other credits existing (not at this bank), car (new),666, rich, 4 to 7 years,3," female, divorced/separated/married", none,4, real estate,39, none, own,2, unskilled - resident,1, yes, yes,1
251, moderate,12, existing credits paid back duly till now, furniture/equipment,2251, little, 1 to 4 years,1," female, divorced/separated/married", none,2," car or other, not in attribute 6",46, none, own,1, unskilled - resident,1, none, yes,1
252, little,30, existing credits paid back duly till now, car (new),2150, little, 1 to 4 years,4," female, divorced/separated/married", guarantor,2, unknown / no property,24," bank,", own,1, skilled employee / official,1, none, yes,2
253, no checking account,24, delay in paying off in the past, furniture/equipment,4151, moderate, 1 to 4 years,2," male, single", none,3, building society savings agreement/ life insurance,35, none, own,2, skilled employee / official,1, none, yes,1
254, little,9, existing credits paid back duly till now, furniture/equipment,2030, unknown/ no savings account, 4 to 7 years,2," male, single", none,1," car or other, not in attribute 6",24, none, own,1, skilled employee / official,1, yes, yes,1
255, little,60, delay in paying off in the past, radio/television,7418, unknown/ no savings account, 1 to 4 years,1," male, single", none,1, real estate,27, none, own,1, unskilled - resident,1, none, yes,1
256, no checking account,24, critical account/ other credits existing (not at this bank), radio/television,2684, little, 1 to 4 years,4," male, single", none,2, real estate,35, none, own,2, unskilled - resident,1, none, yes,1
257, poor,12, all credits at this bank paid back duly, radio/television,2149, little, 1 to 4 years,4," male, divorced/separated", none,1, unknown / no property,29, none, for free,1, skilled employee / official,1, none, yes,2
258, no checking account,15, existing credits paid back duly till now, car (used),3812, moderate, less than 1 year,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",23, none, own,1, skilled employee / official,1, yes, yes,1
259, no checking account,11, critical account/ other credits existing (not at this bank), radio/television,1154, moderate, unemployed,4," female, divorced/separated/married", none,4, real estate,57, none, own,3, unskilled - resident,1, none, yes,1
260, poor,12, existing credits paid back duly till now, furniture/equipment,1657, little, 1 to 4 years,2," male, single", none,2, real estate,27, none, own,1, skilled employee / official,1, none, yes,1
261, poor,24, existing credits paid back duly till now, radio/television,1603, little, more than 7 years,4," female, divorced/separated/married", none,4," car or other, not in attribute 6",55, none, own,1, skilled employee / official,1, none, yes,1
262, poor,18, critical account/ other credits existing (not at this bank), car (new),5302, little, more than 7 years,2," male, single", none,4, unknown / no property,36, none, for free,3, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
263, no checking account,12, critical account/ other credits existing (not at this bank), education,2748, little, more than 7 years,2," female, divorced/separated/married", none,4, unknown / no property,57," bank,", for free,3, unskilled - resident,1, none, yes,1
264, no checking account,10, critical account/ other credits existing (not at this bank), car (new),1231, little, more than 7 years,3," male, single", none,4, real estate,32, none, own,2, unskilled - resident,2, none, no,1
265, little,15, existing credits paid back duly till now, radio/television,802, little, more than 7 years,4," male, single", none,3," car or other, not in attribute 6",37, none, own,1, skilled employee / official,2, none, yes,2
266, no checking account,36, critical account/ other credits existing (not at this bank), business,6304, unknown/ no savings account, more than 7 years,4," male, single", none,4, real estate,36, none, own,2, skilled employee / official,1, none, yes,1
267, no checking account,24, existing credits paid back duly till now, radio/television,1533, little, less than 1 year,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",38, stores, own,1, skilled employee / official,1, yes, yes,1
268, poor,14, existing credits paid back duly till now, car (new),8978, little, more than 7 years,1," male, divorced/separated", none,4, building society savings agreement/ life insurance,45, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, no,2
269, no checking account,24, existing credits paid back duly till now, radio/television,999, unknown/ no savings account, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",25, none, own,2, skilled employee / official,1, none, yes,1
270, no checking account,18, existing credits paid back duly till now, car (new),2662, unknown/ no savings account, 4 to 7 years,4," male, single", none,3, building society savings agreement/ life insurance,32, none, own,1, skilled employee / official,1, none, no,1
271, no checking account,12, critical account/ other credits existing (not at this bank), furniture/equipment,1402, quite rich, 4 to 7 years,3," female, divorced/separated/married", none,4," car or other, not in attribute 6",37, none, rent,1, skilled employee / official,1, yes, yes,1
272, little,48, all credits at this bank paid back duly, car (new),12169, unknown/ no savings account, unemployed,4," male, single", co-applicant,4, unknown / no property,36, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
273, little,48, existing credits paid back duly till now, radio/television,3060, little, 4 to 7 years,4," male, single", none,4, real estate,28, none, own,2, skilled employee / official,1, none, yes,2
274, poor,30, existing credits paid back duly till now, repairs,11998, little, less than 1 year,1," male, divorced/separated", none,1, unknown / no property,34, none, own,1, unskilled - resident,1, yes, yes,2
275, no checking account,9, existing credits paid back duly till now, radio/television,2697, little, 1 to 4 years,1," male, single", none,2, real estate,32, none, own,1, skilled employee / official,2, none, yes,1
276, no checking account,18, critical account/ other credits existing (not at this bank), radio/television,2404, little, 1 to 4 years,2," female, divorced/separated/married", none,2," car or other, not in attribute 6",26, none, own,2, skilled employee / official,1, none, yes,1
277, poor,12, existing credits paid back duly till now, furniture/equipment,1262, unknown/ no savings account, more than 7 years,2," male, divorced/separated", none,4, building society savings agreement/ life insurance,49, none, own,1, unskilled - resident,1, yes, yes,1
278, no checking account,6, existing credits paid back duly till now, furniture/equipment,4611, little, less than 1 year,1," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,32, none, own,1, skilled employee / official,1, none, yes,2
279, no checking account,24, existing credits paid back duly till now, radio/television,1901, moderate, 1 to 4 years,4," male, single", none,4," car or other, not in attribute 6",29, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
280, no checking account,15, critical account/ other credits existing (not at this bank), car (used),3368, rich, more than 7 years,3," male, single", none,4, unknown / no property,23, none, rent,2, skilled employee / official,1, yes, yes,1
281, no checking account,12, existing credits paid back duly till now, furniture/equipment,1574, little, 1 to 4 years,4," male, single", none,2, real estate,50, none, own,1, skilled employee / official,1, none, yes,1
282, moderate,18, all credits at this bank paid back duly, radio/television,1445, unknown/ no savings account, 4 to 7 years,4," male, single", none,4," car or other, not in attribute 6",49," bank,", own,1, unskilled - resident,1, none, yes,1
283, no checking account,15, critical account/ other credits existing (not at this bank), furniture/equipment,1520, unknown/ no savings account, more than 7 years,4," male, single", none,4, building society savings agreement/ life insurance,63, none, own,1, skilled employee / official,1, none, yes,1
284, little,24, critical account/ other credits existing (not at this bank), car (new),3878, moderate, less than 1 year,4," male, divorced/separated", none,2," car or other, not in attribute 6",37, none, own,1, skilled employee / official,1, yes, yes,1
285, poor,47, existing credits paid back duly till now, car (new),10722, little, less than 1 year,1," female, divorced/separated/married", none,1, real estate,35, none, own,1, unskilled - resident,1, yes, yes,1
286, poor,48, existing credits paid back duly till now, car (used),4788, little, 4 to 7 years,4," male, single", none,3, building society savings agreement/ life insurance,26, none, own,1, skilled employee / official,2, none, yes,1
287, little,48, delay in paying off in the past, others,7582, moderate, unemployed,2," male, single", none,4, unknown / no property,31, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
288, little,12, existing credits paid back duly till now, radio/television,1092, little, 1 to 4 years,4," female, divorced/separated/married", guarantor,4, real estate,49, none, own,2, skilled employee / official,1, yes, yes,1
289, poor,24, delay in paying off in the past, radio/television,1024, little, less than 1 year,4," male, married/widowed", none,4, real estate,48, stores, own,1, skilled employee / official,1, none, yes,2
290, no checking account,12, existing credits paid back duly till now, business,1076, little, 1 to 4 years,2," male, married/widowed", none,2, real estate,26, none, own,1, skilled employee / official,1, yes, no,1
291, little,36, existing credits paid back duly till now, car (used),9398, little, less than 1 year,1," male, married/widowed", none,4," car or other, not in attribute 6",28, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
292, poor,24, critical account/ other credits existing (not at this bank), car (used),6419, little, more than 7 years,2," female, divorced/separated/married", none,4, unknown / no property,44, none, for free,2, management/ self-employed/highly qualified employee/ officer,2, yes, yes,1
293, moderate,42, critical account/ other credits existing (not at this bank), car (used),4796, little, more than 7 years,4," male, single", none,4, unknown / no property,56, none, for free,1, skilled employee / official,1, none, yes,1
294, no checking account,48, critical account/ other credits existing (not at this bank), business,7629, unknown/ no savings account, more than 7 years,4," male, divorced/separated", none,2," car or other, not in attribute 6",46," bank,", own,2, management/ self-employed/highly qualified employee/ officer,2, none, yes,1
295, little,48, existing credits paid back duly till now, furniture/equipment,9960, little, less than 1 year,1," female, divorced/separated/married", none,2," car or other, not in attribute 6",26, none, own,1, skilled employee / official,1, yes, yes,2
296, no checking account,12, existing credits paid back duly till now, car (used),4675, unknown/ no savings account, less than 1 year,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",20, none, rent,1, skilled employee / official,1, none, yes,1
297, no checking account,10, existing credits paid back duly till now, car (new),1287, unknown/ no savings account, more than 7 years,4," male, single", co-applicant,2, building society savings agreement/ life insurance,45, none, own,1, unskilled - resident,1, none, no,1
298, no checking account,18, existing credits paid back duly till now, furniture/equipment,2515, little, 1 to 4 years,3," male, single", none,4, real estate,43, none, own,1, skilled employee / official,1, yes, yes,1
299, little,21, critical account/ other credits existing (not at this bank), furniture/equipment,2745, rich, 4 to 7 years,3," male, single", none,2," car or other, not in attribute 6",32, none, own,2, skilled employee / official,1, yes, yes,1
300, no checking account,6, existing credits paid back duly till now, car (new),672, little, unemployed,1," female, divorced/separated/married", none,4, real estate,54, none, own,1, unemployed/ unskilled - non-resident,1, yes, yes,1
301, little,36, no credits taken/ all credits paid back duly, radio/television,3804, little, 1 to 4 years,4," female, divorced/separated/married", none,1," car or other, not in attribute 6",42, none, own,1, skilled employee / official,1, yes, yes,2
302, moderate,24, critical account/ other credits existing (not at this bank), car (new),1344, unknown/ no savings account, 4 to 7 years,4," male, single", none,2, real estate,37," bank,", own,2, unskilled - resident,2, none, yes,2
303, poor,10, critical account/ other credits existing (not at this bank), car (new),1038, little, 4 to 7 years,4," male, single", co-applicant,3, building society savings agreement/ life insurance,49, none, own,2, skilled employee / official,1, yes, yes,1
304, no checking account,48, critical account/ other credits existing (not at this bank), car (new),10127, quite rich, 1 to 4 years,2," male, single", none,2, unknown / no property,44," bank,", for free,1, skilled employee / official,1, none, yes,2
305, no checking account,6, existing credits paid back duly till now, furniture/equipment,1543, rich, 1 to 4 years,4," male, divorced/separated", none,2, real estate,33, none, own,1, skilled employee / official,1, none, yes,1
306, no checking account,30, existing credits paid back duly till now, car (used),4811, unknown/ no savings account, 4 to 7 years,2," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,24, stores, rent,1, unskilled - resident,1, none, yes,1
307, poor,12, existing credits paid back duly till now, radio/television,727, moderate, less than 1 year,4," male, married/widowed", none,3, unknown / no property,33, none, own,1, unskilled - resident,1, yes, yes,2
308, little,8, existing credits paid back duly till now, furniture/equipment,1237, little, 1 to 4 years,3," female, divorced/separated/married", none,4, real estate,24, none, own,1, skilled employee / official,1, none, yes,2
309, little,9, existing credits paid back duly till now, car (new),276, little, 1 to 4 years,4," male, married/widowed", none,4, real estate,22, none, rent,1, unskilled - resident,1, none, yes,1
310, little,48, existing credits paid back duly till now, others,5381, unknown/ no savings account, unemployed,3," male, single", none,4, unknown / no property,40," bank,", for free,1, unemployed/ unskilled - non-resident,1, yes, yes,1
311, no checking account,24, existing credits paid back duly till now, furniture/equipment,5511, moderate, 1 to 4 years,4," male, single", none,1," car or other, not in attribute 6",25, stores, own,1, skilled employee / official,1, none, yes,1
312, moderate,24, existing credits paid back duly till now, furniture/equipment,3749, little, less than 1 year,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",26, none, own,1, skilled employee / official,1, none, yes,1
313, little,12, existing credits paid back duly till now, car (new),685, little, 4 to 7 years,2," male, married/widowed", none,3," car or other, not in attribute 6",25," bank,", own,1, unskilled - resident,1, none, yes,2
314, moderate,4, existing credits paid back duly till now, car (new),1494, unknown/ no savings account, less than 1 year,1," male, single", none,2, real estate,29, none, own,1, unskilled - resident,2, none, no,1
315, poor,36, all credits at this bank paid back duly, furniture/equipment,2746, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",31," bank,", own,1, skilled employee / official,1, none, yes,2
316, poor,12, existing credits paid back duly till now, furniture/equipment,708, little, 1 to 4 years,2," male, single", guarantor,3, building society savings agreement/ life insurance,38, none, own,1, unskilled - resident,2, none, yes,1
317, little,24, existing credits paid back duly till now, furniture/equipment,4351, unknown/ no savings account, 1 to 4 years,1," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,48, none, own,1, unskilled - resident,1, yes, yes,1
318, no checking account,12, critical account/ other credits existing (not at this bank), education,701, little, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",32, none, own,2, skilled employee / official,1, none, yes,1
319, poor,15, delay in paying off in the past, furniture/equipment,3643, little, more than 7 years,1," female, divorced/separated/married", none,4, building society savings agreement/ life insurance,27, none, own,2, unskilled - resident,1, none, yes,1
320, little,30, critical account/ other credits existing (not at this bank), car (new),4249, little, unemployed,4," male, married/widowed", none,2," car or other, not in attribute 6",28, none, own,2, management/ self-employed/highly qualified employee/ officer,1, none, yes,2
321, poor,24, existing credits paid back duly till now, radio/television,1938, little, less than 1 year,4," male, divorced/separated", none,3, building society savings agreement/ life insurance,32, none, own,1, skilled employee / official,1, none, yes,2
322, poor,24, existing credits paid back duly till now, car (used),2910, little, 4 to 7 years,2," male, single", none,1, unknown / no property,34, none, for free,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
323, poor,18, existing credits paid back duly till now, furniture/equipment,2659, rich, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",28, none, own,1, skilled employee / official,1, none, yes,1
324, no checking account,18, critical account/ other credits existing (not at this bank), car (new),1028, little, 1 to 4 years,4," female, divorced/separated/married", none,3, real estate,36, none, own,2, skilled employee / official,1, none, yes,1
325, poor,8, critical account/ other credits existing (not at this bank), car (new),3398, little, 4 to 7 years,1," male, single", none,4, real estate,39, none, own,2, unskilled - resident,1, none, no,1
326, no checking account,12, critical account/ other credits existing (not at this bank), furniture/equipment,5801, unknown/ no savings account, more than 7 years,2," male, single", none,4, building society savings agreement/ life insurance,49, none, rent,1, skilled employee / official,1, yes, yes,1
327, no checking account,24, existing credits paid back duly till now, car (new),1525, rich, 4 to 7 years,4," female, divorced/separated/married", none,3," car or other, not in attribute 6",34, none, own,1, skilled employee / official,2, yes, yes,1
328, moderate,36, existing credits paid back duly till now, radio/television,4473, little, more than 7 years,4," male, single", none,2," car or other, not in attribute 6",31, none, own,1, skilled employee / official,1, none, yes,1
329, little,6, existing credits paid back duly till now, radio/television,1068, little, more than 7 years,4," male, single", none,4," car or other, not in attribute 6",28, none, own,1, skilled employee / official,2, none, yes,1
330, poor,24, critical account/ other credits existing (not at this bank), car (used),6615, little, unemployed,2," male, single", none,4, unknown / no property,75, none, for free,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
331, no checking account,18, critical account/ other credits existing (not at this bank), education,1864, moderate, 1 to 4 years,4," female, divorced/separated/married", none,2, real estate,30, none, own,2, skilled employee / official,1, none, yes,2
332, little,60, existing credits paid back duly till now, car (new),7408, moderate, less than 1 year,4," female, divorced/separated/married", none,2, building society savings agreement/ life insurance,24, none, own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,2
333, no checking account,48, critical account/ other credits existing (not at this bank), car (used),11590, moderate, 1 to 4 years,2," female, divorced/separated/married", none,4," car or other, not in attribute 6",24," bank,", rent,2, unskilled - resident,1, none, yes,2
334, poor,24, no credits taken/ all credits paid back duly, furniture/equipment,4110, little, more than 7 years,3," male, single", none,4, unknown / no property,23," bank,", rent,2, skilled employee / official,2, none, yes,2
335, poor,6, critical account/ other credits existing (not at this bank), furniture/equipment,3384, little, 1 to 4 years,1," male, divorced/separated", none,4, real estate,44, none, rent,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
336, little,13, existing credits paid back duly till now, radio/television,2101, little, less than 1 year,2," female, divorced/separated/married", guarantor,4, building society savings agreement/ life insurance,23, none, own,1, unskilled - resident,1, none, yes,1
337, poor,15, existing credits paid back duly till now, domestic appliances,1275, unknown/ no savings account, 1 to 4 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",24, none, rent,1, skilled employee / official,1, none, yes,2
338, poor,24, existing credits paid back duly till now, furniture/equipment,4169, little, 1 to 4 years,4," male, single", none,4, building society savings agreement/ life insurance,28, none, own,1, skilled employee / official,1, none, yes,1
339, little,10, existing credits paid back duly till now, furniture/equipment,1521, little, 1 to 4 years,4," male, divorced/separated", none,2," car or other, not in attribute 6",31, none, own,1, unskilled - resident,1, none, yes,1
340, little,24, critical account/ other credits existing (not at this bank), education,5743, little, less than 1 year,2," female, divorced/separated/married", none,4, unknown / no property,24, none, for free,2, skilled employee / official,1, yes, yes,1
341, poor,21, existing credits paid back duly till now, furniture/equipment,3599, little, 4 to 7 years,1," female, divorced/separated/married", none,4," car or other, not in attribute 6",26, none, rent,1, unskilled - resident,1, none, yes,1
342, little,18, existing credits paid back duly till now, radio/television,3213, quite rich, less than 1 year,1," male, married/widowed", none,3, real estate,25, none, rent,1, skilled employee / official,1, none, yes,1
343, little,18, existing credits paid back duly till now, business,4439, little, more than 7 years,1," male, single", co-applicant,1, real estate,33," bank,", own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
344, moderate,10, existing credits paid back duly till now, car (new),3949, little, less than 1 year,1," male, single", guarantor,1, building society savings agreement/ life insurance,37, none, own,1, unskilled - resident,2, none, yes,1
345, no checking account,15, critical account/ other credits existing (not at this bank), radio/television,1459, little, 1 to 4 years,4," female, divorced/separated/married", none,2," car or other, not in attribute 6",43, none, own,1, unskilled - resident,1, none, yes,1
346, little,13, critical account/ other credits existing (not at this bank), radio/television,882, little, less than 1 year,4," male, single", guarantor,4, real estate,23, none, own,2, skilled employee / official,1, none, yes,1
347, little,24, existing credits paid back duly till now, radio/television,3758, quite rich, unemployed,1," female, divorced/separated/married", none,4, unknown / no property,23, none, rent,1, unemployed/ unskilled - non-resident,1, none, yes,1
348, no checking account,6, delay in paying off in the past, business,1743, moderate, 1 to 4 years,1," male, single", none,2, real estate,34, none, own,2, unskilled - resident,1, none, yes,1
349, little,9, critical account/ other credits existing (not at this bank), education,1136, rich, more than 7 years,4," male, single", none,3, unknown / no property,32, none, for free,2, skilled employee / official,2, none, yes,2
350, no checking account,9, existing credits paid back duly till now, domestic appliances,1236, little, less than 1 year,1," female, divorced/separated/married", none,4, real estate,23, none, rent,1, skilled employee / official,1, yes, yes,1
351, little,9, existing credits paid back duly till now, furniture/equipment,959, little, 1 to 4 years,1," female, divorced/separated/married", none,2," car or other, not in attribute 6",29, none, own,1, skilled employee / official,1, none, no,2
352, no checking account,18, critical account/ other credits existing (not at this bank), car (used),3229, unknown/ no savings account, unemployed,2," male, single", none,4, unknown / no property,38, none, own,1, management/ self-employed/highly qualified employee/ officer,1, yes, yes,1
353, poor,12, no credits taken/ all credits paid back duly, radio/television,6199, little, 1 to 4 years,4," male, single", none,2, building society savings agreement/ life insurance,28, none, rent,2, skilled employee / official,1, yes, yes,2
354, no checking account,10, existing credits paid back duly till now, education,727, quite rich, more than 7 years,4," male, single", none,4, unknown / no property,46, none, for free,1, skilled employee / official,1, yes, yes,1
355, little,24, existing credits paid back duly till now, car (new),1246, little, less than 1 year,4," male, single", none,2, real estate,23, stores, own,1, unskilled - resident,1, none, yes,2
356, no checking account,12, critical account/ other credits existing (not at this bank), radio/television,2331, unknown/ no savings account, more than 7 years,1," male, single", co-applicant,4, real estate,49, none, own,1, skilled employee / official,1, yes, yes,1
357, no checking account,36, delay in paying off in the past, radio/television,4463, little, 1 to 4 years,4," male, single", none,2," car or other, not in attribute 6",26, none, own,2, management/ self-employed/highly qualified employee/ officer,1, yes, yes,2
358, no checking account,12, existing credits paid back duly till now, radio/television,776, little, 1 to 4 years,4," male, married/widowed", none,2, real estate,28, none, own,1, skilled employee / official,1, none, yes,1
359, poor,30, existing credits paid back duly till now, furniture/equipment,2406, little, 4 to 7 years,4," female, divorced/separated/married", none,4, real estate,23, none, rent,1, skilled employee / official,1, none, yes,2
360, little,18, existing credits paid back duly till now, education,1239, unknown/ no savings account, 1 to 4 years,4," male, single", none,4, unknown / no property,61, none, for free,1, skilled employee / official,1, none, yes,1
361, moderate,12, existing credits paid back duly till now, radio/television,3399, unknown/ no savings account, more than 7 years,2," male, single", none,3," car or other, not in attribute 6",37, none, own,1, management/ self-employed/highly qualified employee/ officer,1, none, yes,1
362, moderate,12, delay in paying off in the past, car (new),2247, little, 1 to 4 years,2," female, divorced/separated/married", none,2," car or other, not in attribute 6",36, stores, own,2, skilled employee / official,1, yes, yes,1
363, no checking account,6, existing credits paid back duly till now, furniture/equipment,1766, little, 1 to 4 years,1," male, married/widowed", none,2, building society savings agreement/ life insurance,21, none, rent,1, skilled employee / official,1, none, yes,1
